context,base_factor_kgco2e_per_mwh,stress_envelope,active_assumption_blocks,latent_technology_correlation,iterations,technology,first_rank_frequency_pct,cold_plate_below_one_phase_frequency_pct,median_first_to_second_margin_pct,base_seed,scenario_seed_hex,interpretation
2023 U.S. generation,349.6670732319829,narrow,grid only,0.0,20000,Air-cooled,0.0,0.0,5.483652914140336,20250730,0a62e3c254d29a01,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,grid only,0.0,20000,Cold plate,0.0,0.0,5.483652914140336,20250730,0a62e3c254d29a01,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,grid only,0.0,20000,One-phase,0.0,0.0,5.483652914140336,20250730,0a62e3c254d29a01,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,grid only,0.0,20000,Two-phase,100.0,0.0,5.483652914140336,20250730,0a62e3c254d29a01,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,grid only,0.5,20000,Air-cooled,0.0,0.0,5.483647639613998,20250730,8778d1100f18b9c5,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,grid only,0.5,20000,Cold plate,0.0,0.0,5.483647639613998,20250730,8778d1100f18b9c5,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,grid only,0.5,20000,One-phase,0.0,0.0,5.483647639613998,20250730,8778d1100f18b9c5,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,grid only,0.5,20000,Two-phase,100.0,0.0,5.483647639613998,20250730,8778d1100f18b9c5,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,grid only,1.0,20000,Air-cooled,0.0,0.0,5.483610691445806,20250730,ec5519e53402f4bb,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,grid only,1.0,20000,Cold plate,0.0,0.0,5.483610691445806,20250730,ec5519e53402f4bb,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,grid only,1.0,20000,One-phase,0.0,0.0,5.483610691445806,20250730,ec5519e53402f4bb,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,grid only,1.0,20000,Two-phase,100.0,0.0,5.483610691445806,20250730,ec5519e53402f4bb,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,use phase only,0.0,20000,Air-cooled,0.0,11.205,5.453494487895682,20250730,c9caf2effa142319,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,use phase only,0.0,20000,Cold plate,0.0,11.205,5.453494487895682,20250730,c9caf2effa142319,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,use phase only,0.0,20000,One-phase,0.0,11.205,5.453494487895682,20250730,c9caf2effa142319,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,use phase only,0.0,20000,Two-phase,100.0,11.205,5.453494487895682,20250730,c9caf2effa142319,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,use phase only,0.5,20000,Air-cooled,0.0,3.995,5.4648796972759595,20250730,f0890ae609b8f3f7,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,use phase only,0.5,20000,Cold plate,0.0,3.995,5.4648796972759595,20250730,f0890ae609b8f3f7,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,use phase only,0.5,20000,One-phase,0.0,3.995,5.4648796972759595,20250730,f0890ae609b8f3f7,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,use phase only,0.5,20000,Two-phase,100.0,3.995,5.4648796972759595,20250730,f0890ae609b8f3f7,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,use phase only,1.0,20000,Air-cooled,0.0,0.0,5.483662703138215,20250730,e08da8ea58d146f1,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,use phase only,1.0,20000,Cold plate,0.0,0.0,5.483662703138215,20250730,e08da8ea58d146f1,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,use phase only,1.0,20000,One-phase,0.0,0.0,5.483662703138215,20250730,e08da8ea58d146f1,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,use phase only,1.0,20000,Two-phase,100.0,0.0,5.483662703138215,20250730,e08da8ea58d146f1,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,embodied only,0.0,20000,Air-cooled,0.0,22.725,5.279401564676467,20250730,95bca2176ec8c0dc,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
2023 U.S. generation,349.6670732319829,narrow,embodied only,0.0,20000,Cold plate,0.0,22.725,5.279401564676467,20250730,95bca2176ec8c0dc,Declared triangular-marginal stress with Gaussian-copula dependence; the latent correlation and frequencies are not fitted uncertainty or confidence.
