flow_id,flow_name,reference_unit,exchange_count,process_count,activity_weighted_amount,product_system,cutoff_treatment,decision_status
14d67c68-0a06-328b-9347-1aaa9bc5f53a,"Water, reclaimed",kg,47,47,733.6850625112546,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
7e540229-9844-4be6-b0e8-af5d8d70c11a,Ammonium nitrate,kg,20,20,0.12943163161619248,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
2b69310a-e90f-3417-8b35-d23d5eeac99f,asphalt,kg,20,20,0.01826637995912027,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
8fe56530-fbb6-3f64-a436-c460029321b4,"rubber, styrene-butadiene",kg,20,20,5.7459651641729834e-05,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
9f723736-35c3-4218-8dbe-a1331f56be46,Light fuel oil,kg,20,20,5.695013916742808e-05,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
e6653400-5caf-43f6-b1f2-89b4c01ca58d,petroleum coke,kg,20,20,1.2391004977544107e-05,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
8a5b6ae2-63d7-4e5a-950e-7d1d8b0bea80,"natural gas, delivered",kg,20,20,9.524581524328792e-06,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
66c312ea-5071-3a57-9940-25a403d38dea,cast iron,kg,20,20,8.683850554334807e-06,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
25804c89-c3cd-34f7-b5e6-4160fc17a7dc,polyvinyl chloride (PVC),kg,20,20,3.3346829196216388e-06,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
66b3cd21-7664-3778-86d6-52f45f1af823,copper,kg,20,20,2.0821789273642468e-07,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
6aec53b7-c1e1-4f37-9997-bad469fa567b,residual oil,kg,20,20,2.0180378250462872e-07,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
2db44184-7fa2-300c-b4ab-7fa9227bc0ed,zinc,kg,20,20,1.6616642721558566e-07,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
2b325037-62f4-4658-ab68-2aaf30da8ae6,liquefied petroleum gas,kg,20,20,4.216702304613421e-09,Electricity; at user; consumption mix - US - US,Unlinked technosphere input assigned zero upstream burden by the linked product-system calculation.,Magnitude not bounded; lifecycle factor is a partial linked-system screen until providers are linked or cutoffs bounded.
