year,states_included,net_generation_mwh,generation_weighted_co2e_kg_per_mwh,minimum_state_kgco2e_per_mwh,median_state_kgco2e_per_mwh,maximum_state_kgco2e_per_mwh,technology,total_kgco2e_per_vcore_year,use_phase_kgco2e_per_vcore_year,embodied_kgco2e_per_vcore_year,embodied_share_pct,reduction_vs_air_pct,lowest_ghg_technology
2012,51,4045517914.7444,517.9791765662972,3.37294715150058,517.6417385146392,956.8340785430383,Air-cooled,52.66240649425287,49.15198532990261,3.5104211643502636,6.665895841150672,0.0,Two-phase
2012,51,4045517914.7444,517.9791765662972,3.37294715150058,517.6417385146392,956.8340785430383,Cold plate,44.683877506494134,41.73644667360861,2.9474308328855217,6.596184121347026,15.150331173394903,Two-phase
2012,51,4045517914.7444,517.9791765662972,3.37294715150058,517.6417385146392,956.8340785430383,One-phase,43.96444568461213,40.91465656315212,3.049789121460012,6.936944328465534,16.516451466360472,Two-phase
2012,51,4045517914.7444,517.9791765662972,3.37294715150058,517.6417385146392,956.8340785430383,Two-phase,41.766935682749505,38.94760576684674,2.819329915902762,6.750147861738384,20.68927634876011,Two-phase
2014,51,4079690473.912,512.6379294675622,10.418563146530001,498.69079138725,945.41305135123,Air-cooled,52.159695950345736,48.64927478599547,3.5104211643502636,6.730141156674045,0.0,Two-phase
2014,51,4079690473.912,512.6379294675622,10.418563146530001,498.69079138725,945.41305135123,Cold plate,44.257010683776464,41.30957985089094,2.9474308328855217,6.659805502783263,15.150941972691633,Two-phase
2014,51,4079690473.912,512.6379294675622,10.418563146530001,498.69079138725,945.41305135123,One-phase,43.545983864268884,40.496194742808875,3.049789121460012,7.003605960462586,16.514114833561944,Two-phase
2014,51,4079690473.912,512.6379294675622,10.418563146530001,498.69079138725,945.41305135123,Two-phase,41.36859221915353,38.549262303250764,2.819329915902762,6.815145898528838,20.68858633966152,Two-phase
2016,51,4075322641.0889997,455.4824837039045,30.311310125250003,427.75075908873004,925.76705862179,Air-cooled,46.780307074308105,43.26988590995784,3.5104211643502636,7.504057548776113,0.0,Two-phase
2016,51,4075322641.0889997,455.4824837039045,30.311310125250003,427.75075908873004,925.76705862179,Cold plate,39.6892078686019,36.741777035716375,2.9474308328855217,7.426277799858112,15.158299825698796,Two-phase
2016,51,4075322641.0889997,455.4824837039045,30.311310125250003,427.75075908873004,925.76705862179,One-phase,39.068121029116604,36.018331907656595,3.049789121460012,7.806336831983989,16.48596712488675,Two-phase
2016,51,4075322641.0889997,455.4824837039045,30.311310125250003,427.75075908873004,925.76705862179,Two-phase,37.10601125107588,34.286681335173114,2.819329915902762,7.598040912632495,20.680274304025215,Two-phase
2018,51,4168370117.666,432.2177659471094,26.08473642159,408.40821965482,936.1048823264599,Air-cooled,44.59066508599147,41.080243921641205,3.5104211643502636,7.872547219424838,0.0,Two-phase
2018,51,4168370117.666,432.2177659471094,26.08473642159,408.40821965482,936.1048823264599,Cold plate,37.829916215044335,34.88248538215881,2.9474308328855217,7.791269787992226,15.161803166445885,Two-phase
2018,51,4168370117.666,432.2177659471094,26.08473642159,408.40821965482,936.1048823264599,One-phase,37.245438804849876,34.19564968338987,3.049789121460012,8.188355995588074,16.472564979635518,Two-phase
2018,51,4168370117.666,432.2177659471094,26.08473642159,408.40821965482,936.1048823264599,Two-phase,35.3709579798989,32.551628063996134,2.819329915902762,7.970747972121564,20.676316642312244,Two-phase
2019,51,4122019669.568,402.0332961785574,23.25250566331,379.81919975846,938.4789847910401,Air-cooled,41.749745927151,38.239324762800734,3.5104211643502636,8.408245574657117,0.0,Two-phase
2019,51,4122019669.568,402.0332961785574,23.25250566331,379.81919975846,938.4789847910401,Cold plate,35.41760529451588,32.47017446163036,2.9474308328855217,8.321937094210902,15.166896209821367,Two-phase
2019,51,4122019669.568,402.0332961785574,23.25250566331,379.81919975846,938.4789847910401,One-phase,34.88062625602851,31.830837134568505,3.049789121460012,8.74350448605523,16.4530813746948,Two-phase
2019,51,4122019669.568,402.0332961785574,23.25250566331,379.81919975846,938.4789847910401,Two-phase,33.11983834207856,30.300508426175796,2.819329915902762,8.512511102207947,20.670563121822916,Two-phase
2020,51,4003333575.409,371.51283229492725,13.7483847347,345.51854473906,902.69644349885,Air-cooled,38.87720348235909,35.36678231800883,3.5104211643502636,9.029510484063369,0.0,Two-phase
2020,51,4003333575.409,371.51283229492725,13.7483847347,345.51854473906,902.69644349885,Cold plate,32.97844207943823,30.031011246552712,2.9474308328855217,8.937447153463985,15.17280275984223,Two-phase
