metric,electricity,technology,published_normalized,reproduced_component_sum,absolute_difference,reduction_vs_air_pct
Primary energy,Grid,Air-cooled,100.0,99.99999999999999,1.4210854715202004e-14,0.0
Primary energy,Grid,Cold plate,85.02460062414333,85.02460062414335,1.4210854715202004e-14,14.975399375856668
Primary energy,Grid,One-phase,84.66598873253865,84.66598873253866,1.4210854715202004e-14,15.334011267461346
Primary energy,Grid,Two-phase,79.94758909622206,79.94758909622206,0.0,20.05241090377794
Primary energy,100% renewable,Air-cooled,92.63095836919227,92.63095836919226,1.4210854715202004e-14,0.0
Primary energy,100% renewable,Cold plate,78.76732310024443,78.76732310024443,0.0,14.966524705155903
Primary energy,100% renewable,One-phase,78.53191692444338,78.53191692444338,0.0,15.220658074760918
Primary energy,100% renewable,Two-phase,74.10842458659289,74.10842458659288,1.4210854715202004e-14,19.996051113684377
GHG,Grid,Air-cooled,100.0,100.0,0.0,0.0
GHG,Grid,Cold plate,84.82206096514042,84.82206096514044,1.4210854715202004e-14,15.177939034859577
GHG,Grid,One-phase,83.58916331568221,83.58916331568221,0.0,16.410836684317786
GHG,Grid,Two-phase,79.34191176115638,79.34191176115638,0.0,20.658088238843618
GHG,100% renewable,Air-cooled,10.661628152147067,10.661628152147067,0.0,0.0
GHG,100% renewable,Cold plate,8.962130435202702,8.9621304352027,1.7763568394002505e-15,15.940320677964326
GHG,100% renewable,One-phase,9.222913864465534,9.222913864465536,1.7763568394002505e-15,13.49432063424385
GHG,100% renewable,Two-phase,8.550962764325098,8.5509627643251,1.7763568394002505e-15,19.79683926039868
Blue water,Grid,Air-cooled,100.0,100.0,0.0,0.0
Blue water,Grid,Cold plate,69.35667439937643,69.35667439937644,1.4210854715202004e-14,30.643325600623573
Blue water,Grid,One-phase,55.05996800099758,55.059968000997564,1.4210854715202004e-14,44.940031999002414
Blue water,Grid,Two-phase,52.12242331046649,52.122423310466495,7.105427357601002e-15,47.877576689533505
Blue water,100% renewable,Air-cooled,44.5491869608269,44.5491869608269,0.0,0.0
Blue water,100% renewable,Cold plate,22.27170141437423,22.27170141437423,0.0,50.00649184920426
Blue water,100% renewable,One-phase,8.902097542302501,8.902097542302501,0.0,80.0173737174366
Blue water,100% renewable,Two-phase,8.183681239208688,8.183681239208687,1.7763568394002505e-15,81.63000988905861
