context,base_factor_kgco2e_per_mwh,stress_envelope,iterations,grid_half_width_pct,use_phase_half_width_pct,embodied_half_width_pct,service_equivalence_half_width_pct,technology,first_rank_frequency_pct,cold_plate_below_one_phase_frequency_pct,median_first_to_second_margin_pct,seed,interpretation
2023 U.S. generation,349.6670732319829,narrow,20000,2.0,2.0,20.0,2.0,Air-cooled,0.0,29.405,5.07277603987567,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,narrow,20000,2.0,2.0,20.0,2.0,Cold plate,0.085,29.405,5.07277603987567,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,narrow,20000,2.0,2.0,20.0,2.0,One-phase,0.58,29.405,5.07277603987567,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,narrow,20000,2.0,2.0,20.0,2.0,Two-phase,99.335,29.405,5.07277603987567,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,screening,20000,5.0,5.0,50.0,5.0,Air-cooled,0.0,41.86,4.342526032727512,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,screening,20000,5.0,5.0,50.0,5.0,Cold plate,9.045,41.86,4.342526032727512,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,screening,20000,5.0,5.0,50.0,5.0,One-phase,14.985,41.86,4.342526032727512,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,screening,20000,5.0,5.0,50.0,5.0,Two-phase,75.97,41.86,4.342526032727512,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,wide,20000,10.0,10.0,100.0,10.0,Air-cooled,0.35,44.535,6.378449895054916,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,wide,20000,10.0,10.0,100.0,10.0,Cold plate,18.855,44.535,6.378449895054916,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,wide,20000,10.0,10.0,100.0,10.0,One-phase,24.63,44.535,6.378449895054916,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,wide,20000,10.0,10.0,100.0,10.0,Two-phase,56.165,44.535,6.378449895054916,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,narrow,20000,2.0,2.0,20.0,2.0,Air-cooled,0.015,58.02,5.25791752324738,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,narrow,20000,2.0,2.0,20.0,2.0,Cold plate,22.0,58.02,5.25791752324738,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,narrow,20000,2.0,2.0,20.0,2.0,One-phase,14.8,58.02,5.25791752324738,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,narrow,20000,2.0,2.0,20.0,2.0,Two-phase,63.185,58.02,5.25791752324738,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,screening,20000,5.0,5.0,50.0,5.0,Air-cooled,5.47,53.645,11.345801317411887,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,screening,20000,5.0,5.0,50.0,5.0,Cold plate,28.06,53.645,11.345801317411887,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,screening,20000,5.0,5.0,50.0,5.0,One-phase,23.925,53.645,11.345801317411887,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,screening,20000,5.0,5.0,50.0,5.0,Two-phase,42.545,53.645,11.345801317411887,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,wide,20000,10.0,10.0,100.0,10.0,Air-cooled,13.925,51.37,24.698295814368276,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,wide,20000,10.0,10.0,100.0,10.0,Cold plate,26.915,51.37,24.698295814368276,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,wide,20000,10.0,10.0,100.0,10.0,One-phase,25.26,51.37,24.698295814368276,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,wide,20000,10.0,10.0,100.0,10.0,Two-phase,33.9,51.37,24.698295814368276,20250730,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
