region_level,electricity_mix_type,region_name,region_code,reference_year,product_system_id,product_system_version,lifecycle_ar5_gwp100_kgco2e_per_mwh,direct_generation_ar5_gwp100_kgco2e_per_mwh,upstream_infrastructure_ar5_gwp100_kgco2e_per_mwh,upstream_infrastructure_share_pct,process_count,link_count,unlinked_technosphere_inputs,solver_iterations,solver_residual,below_cp_one_phase_numerical_crossover,above_released_high_numerical_anchor,index_screening_lowest_technology,index_screening_second_technology,index_screening_margin_pct,interpretation
BA,consumption mix,"Alcoa Power Generating, Inc. - Yadkin Division",YAD,2023,f6377b5c-159b-4cab-9ff6-96252bd82dee,03.00.000,4.7630803317316985,4.7630803317316985,0.0,0.0,4,3,0,4,0.0,True,False,Two-phase,Cold plate,4.755866091412253,Federal LCA Commons consumption-mix lifecycle factor; cooling ordering remains a numerical transferability screen because the released cooling endpoints have an unresolved LCIA-method identity.
BA,consumption mix,Arizona Public Service Company,AZPS,2023,440f5630-54d0-4b11-a872-457e3f750ff5,03.00.000,590.9597461410133,551.2816440684122,39.678102072601064,6.714180167380331,125,192,56,5,0.0,False,True,Two-phase,One-phase,5.322224427043731,Federal LCA Commons consumption-mix lifecycle factor; cooling ordering remains a numerical transferability screen because the released cooling endpoints have an unresolved LCIA-method identity.
BA,consumption mix,"Associated Electric Cooperative, Inc.",AECI,2023,2fbab91c-772b-425f-87e2-f15ecaeeb219,03.00.000,628.3855662962353,579.1428099793447,49.24275631689056,7.836392011218858,98,233,173,5,0.0,False,True,Two-phase,One-phase,5.307376850730705,Federal LCA Commons consumption-mix lifecycle factor; cooling ordering remains a numerical transferability screen because the released cooling endpoints have an unresolved LCIA-method identity.
BA,consumption mix,Avista Corporation,AVA,2023,d45ea810-cb7e-4297-b2b0-21ee78b190d6,03.00.000,252.90909952475863,222.5805269970793,30.32857252767934,11.991886644122236,204,316,111,5,0.0,False,False,Two-phase,One-phase,5.619068695774265,Federal LCA Commons consumption-mix lifecycle factor; cooling ordering remains a numerical transferability screen because the released cooling endpoints have an unresolved LCIA-method identity.
BA,consumption mix,Balancing Authority of Northern California,BANC,2023,724b4b24-0d39-4644-b45f-5f29eed8e297,03.00.000,240.48844753786167,196.89041268404924,43.598034853812436,18.12895184786309,248,374,98,5,0.0,False,False,Two-phase,One-phase,5.642844849212447,Federal LCA Commons consumption-mix lifecycle factor; cooling ordering remains a numerical transferability screen because the released cooling endpoints have an unresolved LCIA-method identity.
BA,consumption mix,Bonneville Power Administration,BPAT,2023,19665da7-c52d-46c4-bebf-42ad41aa86b7,03.00.000,167.18791001586249,144.15303505811636,23.034874957746126,13.777835344410141,185,279,110,5,0.0,False,False,Two-phase,One-phase,5.836924213747485,Federal LCA Commons consumption-mix lifecycle factor; cooling ordering remains a numerical transferability screen because the released cooling endpoints have an unresolved LCIA-method identity.
BA,consumption mix,California Independent System Operator,CISO,2023,ae3389fd-3c89-4474-b63f-24ca97ea9b9e,03.00.000,255.80932868374495,208.7449121873959,47.064416496349054,18.398240884535696,233,370,99,5,0.0,False,False,Two-phase,One-phase,5.613789276036729,Federal LCA Commons consumption-mix lifecycle factor; cooling ordering remains a numerical transferability screen because the released cooling endpoints have an unresolved LCIA-method identity.
BA,consumption mix,City of Homestead,HST,2023,954820c9-f943-44e2-9e8b-3a2b73590482,03.00.000,363.9488338562637,304.42841631548436,59.52041754077936,16.354061891097057,104,210,149,5,0.0,False,False,Two-phase,One-phase,5.468922460124359,Federal LCA Commons consumption-mix lifecycle factor; cooling ordering remains a numerical transferability screen because the released cooling endpoints have an unresolved LCIA-method identity.
BA,consumption mix,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,2023,973961ac-7c18-4965-ba48-44d1978c4239,03.00.000,76.8119032633172,66.38625555273474,10.425647710582467,13.572958444790167,174,261,108,5,0.0,True,False,Two-phase,Cold plate,6.055172315260848,Federal LCA Commons consumption-mix lifecycle factor; cooling ordering remains a numerical transferability screen because the released cooling endpoints have an unresolved LCIA-method identity.
BA,consumption mix,City of Tallahassee,TAL,2023,ad32bfde-7298-4311-86c8-54b51f9e42f4,03.00.000,490.4374192079083,403.38916695556503,87.04825225234327,17.74910495062397,77,152,158,5,0.0,False,False,Two-phase,One-phase,5.372161435312717,Federal LCA Commons consumption-mix lifecycle factor; cooling ordering remains a numerical transferability screen because the released cooling endpoints have an unresolved LCIA-method identity.
