region_level,region_name,region_code,lifecycle_ar5_gwp100_kgco2e_per_mwh,nominal_index_screening_winner,active_assumption_blocks,critical_competitor,critical_equal_half_width_pct,robust_through_99_9999_pct,bound_structure,interpretation
BA,"Alcoa Power Generating, Inc. - Yadkin Division",YAD,4.7630803317316985,Two-phase,grid only,none below 100%,,True,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Alcoa Power Generating, Inc. - Yadkin Division",YAD,4.7630803317316985,Two-phase,use phase only,Cold plate,28.31073035791018,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Alcoa Power Generating, Inc. - Yadkin Division",YAD,4.7630803317316985,Two-phase,embodied only,Cold plate,2.5302940023313463,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Alcoa Power Generating, Inc. - Yadkin Division",YAD,4.7630803317316985,Two-phase,service equivalence only,Cold plate,2.3227007763914345,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Alcoa Power Generating, Inc. - Yadkin Division",YAD,4.7630803317316985,Two-phase,all four equal-width,Cold plate,1.1609889111337313,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Arizona Public Service Company,AZPS,590.9597461410133,Two-phase,grid only,none below 100%,,True,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Arizona Public Service Company,AZPS,590.9597461410133,Two-phase,use phase only,One-phase,2.8428531810651303,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Arizona Public Service Company,AZPS,590.9597461410133,Two-phase,embodied only,One-phase,29.391500867196278,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Arizona Public Service Company,AZPS,590.9597461410133,Two-phase,service equivalence only,One-phase,2.5921326548528856,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Arizona Public Service Company,AZPS,590.9597461410133,Two-phase,all four equal-width,One-phase,1.2955305095041616,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Associated Electric Cooperative, Inc.",AECI,628.3855662962353,Two-phase,grid only,none below 100%,,True,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Associated Electric Cooperative, Inc.",AECI,628.3855662962353,Two-phase,use phase only,One-phase,2.8202403051789506,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Associated Electric Cooperative, Inc.",AECI,628.3855662962353,Two-phase,embodied only,One-phase,31.003640023155803,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Associated Electric Cooperative, Inc.",AECI,628.3855662962353,Two-phase,service equivalence only,One-phase,2.5850882380078435,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Associated Electric Cooperative, Inc.",AECI,628.3855662962353,Two-phase,all four equal-width,One-phase,1.2920458318448236,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Avista Corporation,AVA,252.90909952475863,Two-phase,grid only,none below 100%,,True,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Avista Corporation,AVA,252.90909952475863,Two-phase,use phase only,One-phase,3.3500956082680062,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Avista Corporation,AVA,252.90909952475863,Two-phase,embodied only,One-phase,14.82977097464723,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Avista Corporation,AVA,252.90909952475863,Two-phase,service equivalence only,One-phase,2.7327566122225813,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Avista Corporation,AVA,252.90909952475863,Two-phase,all four equal-width,One-phase,1.3651487283603936,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Balancing Authority of Northern California,BANC,240.48844753786167,Two-phase,grid only,none below 100%,,True,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Balancing Authority of Northern California,BANC,240.48844753786167,Two-phase,use phase only,One-phase,3.3958697453152444,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Balancing Authority of Northern California,BANC,240.48844753786167,Two-phase,embodied only,One-phase,14.294744104759735,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Balancing Authority of Northern California,BANC,240.48844753786167,Two-phase,service equivalence only,One-phase,2.7440025221154967,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Balancing Authority of Northern California,BANC,240.48844753786167,Two-phase,all four equal-width,One-phase,1.3707212176553685,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Bonneville Power Administration,BPAT,167.18791001586249,Two-phase,grid only,none below 100%,,True,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Bonneville Power Administration,BPAT,167.18791001586249,Two-phase,use phase only,One-phase,3.8043399002242246,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Bonneville Power Administration,BPAT,167.18791001586249,Two-phase,embodied only,One-phase,11.137280455279742,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Bonneville Power Administration,BPAT,167.18791001586249,Two-phase,service equivalence only,One-phase,2.835703183985705,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Bonneville Power Administration,BPAT,167.18791001586249,Two-phase,all four equal-width,One-phase,1.41619163506303,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,California Independent System Operator,CISO,255.80932868374495,Two-phase,grid only,none below 100%,,True,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,California Independent System Operator,CISO,255.80932868374495,Two-phase,use phase only,One-phase,3.340046944552827,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,California Independent System Operator,CISO,255.80932868374495,Two-phase,embodied only,One-phase,14.954700046850972,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,California Independent System Operator,CISO,255.80932868374495,Two-phase,service equivalence only,One-phase,2.730259140596936,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,California Independent System Operator,CISO,255.80932868374495,Two-phase,all four equal-width,One-phase,1.3639113086263144,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,City of Homestead,HST,363.9488338562637,Two-phase,grid only,none below 100%,,True,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,City of Homestead,HST,363.9488338562637,Two-phase,use phase only,One-phase,3.0796157838642317,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,City of Homestead,HST,363.9488338562637,Two-phase,embodied only,One-phase,19.612872663286428,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,City of Homestead,HST,363.9488338562637,Two-phase,service equivalence only,One-phase,2.661678659061312,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,City of Homestead,HST,363.9488338562637,Two-phase,all four equal-width,One-phase,1.3299465776132116,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,76.8119032633172,Two-phase,grid only,none below 100%,,True,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,76.8119032633172,Two-phase,use phase only,Cold plate,5.060398001707839,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,76.8119032633172,Two-phase,embodied only,Cold plate,7.008532707700578,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,76.8119032633172,Two-phase,service equivalence only,Cold plate,2.9386169962268784,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"City of Tacoma, Department of Public Utilities, Light Division",TPWR,76.8119032633172,Two-phase,all four equal-width,Cold plate,1.467404962803959,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,City of Tallahassee,TAL,490.4374192079083,Two-phase,grid only,none below 100%,,True,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,City of Tallahassee,TAL,490.4374192079083,Two-phase,use phase only,One-phase,2.9206656788315857,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,City of Tallahassee,TAL,490.4374192079083,Two-phase,embodied only,One-phase,25.06144267141356,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,City of Tallahassee,TAL,490.4374192079083,Two-phase,service equivalence only,One-phase,2.6158177416878483,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,City of Tallahassee,TAL,490.4374192079083,Two-phase,all four equal-width,One-phase,1.3072486660602567,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Dominion Energy South Carolina, Inc.",SCEG,437.9129029356049,Two-phase,grid only,none below 100%,,True,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Dominion Energy South Carolina, Inc.",SCEG,437.9129029356049,Two-phase,use phase only,One-phase,2.9755269495091388,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Dominion Energy South Carolina, Inc.",SCEG,437.9129029356049,Two-phase,embodied only,One-phase,22.798918323805022,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Dominion Energy South Carolina, Inc.",SCEG,437.9129029356049,Two-phase,service equivalence only,One-phase,2.6320176893342153,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,"Dominion Energy South Carolina, Inc.",SCEG,437.9129029356049,Two-phase,all four equal-width,One-phase,1.3152652121722066,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Duke Energy Carolinas,DUK,327.7243132921762,Two-phase,grid only,none below 100%,,True,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Duke Energy Carolinas,DUK,327.7243132921762,Two-phase,use phase only,One-phase,3.147723457115482,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Duke Energy Carolinas,DUK,327.7243132921762,Two-phase,embodied only,One-phase,18.052480191858553,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
BA,Duke Energy Carolinas,DUK,327.7243132921762,Two-phase,service equivalence only,One-phase,2.680361769155726,False,"Shared nonnegative grid multiplier; independent technology-specific use, embodied, and service multipliers; equal relative half-width for active blocks.","Deterministic set-bounded numerical certificate, not a probability, confidence interval, or physical validation."
