year,state_abbreviation,state,net_generation_mwh,co2e_kg_per_mwh,reported_co2e_kg_per_mwh,co2_kg_per_mwh,gwp_basis,source_field,technology,electricity_intensity_position,use_phase_kgco2e_per_vcore_year,embodied_kgco2e_per_vcore_year,total_kgco2e_per_vcore_year,embodied_share_pct,method
2023,AK,AK,6678905.161,369.43135553196305,369.43148089309,367.33000651986026,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Air-cooled,0.7003201441629654,23.351070802830275,3.5104211643502636,26.861491967180537,13.068600838104258,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,AK,AK,6678905.161,369.43135553196305,369.43148089309,367.33000651986026,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Cold plate,0.7003201441629654,19.82810490344675,2.9474308328855217,22.775535736332273,12.941214059714452,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,AK,AK,6678905.161,369.43135553196305,369.43148089309,367.33000651986026,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",One-phase,0.7003201441629654,19.43768976709903,3.049789121460012,22.487478888559043,13.562165579226638,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,AK,AK,6678905.161,369.43135553196305,369.43148089309,367.33000651986026,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,0.7003201441629654,18.503185451373117,2.819329915902762,21.32251536727588,13.22231391250231,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,AL,AL,138596256.477,323.8541379153855,323.85406596312004,322.49853553678656,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Air-cooled,0.612462202298481,20.47183379213939,3.5104211643502636,23.98225495648965,14.637577536887688,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,AL,AL,138596256.477,323.8541379153855,323.85406596312004,322.49853553678656,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Cold plate,0.612462202298481,17.383257128716618,2.9474308328855217,20.33068796160214,14.497447594750513,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,AL,AL,138596256.477,323.8541379153855,323.85406596312004,322.49853553678656,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",One-phase,0.612462202298481,17.040981014326302,3.049789121460012,20.090770135786315,15.180050843484745,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,AL,AL,138596256.477,323.8541379153855,323.85406596312004,322.49853553678656,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,0.612462202298481,16.221703080945233,2.819329915902762,19.041032996847996,14.8066017025939,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,AR,AR,63195646.552,452.87288650888115,452.87297250118,450.6044599161595,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Air-cooled,0.8611680756739747,28.622299648754122,3.5104211643502636,32.132720813104385,10.924755437823496,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
2023,AR,AR,63195646.552,452.87288650888115,452.87297250118,450.6044599161595,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Cold plate,0.8611680756739747,24.304065745224694,2.9474308328855217,27.251496578110217,10.815665937602294,Numerical intensity-index transfer between Microsoft renewable and grid endpoints; eGRID and GaBi boundaries differ
