context,base_factor_kgco2e_per_mwh,stress_envelope,iterations,grid_half_width_pct,use_phase_half_width_pct,embodied_half_width_pct,service_equivalence_half_width_pct,technology,first_rank_frequency_pct,cold_plate_below_one_phase_frequency_pct,median_first_to_second_margin_pct,base_seed,scenario_seed_hex,interpretation
2023 U.S. generation,349.6670732319829,narrow,20000,2.0,2.0,20.0,2.0,Air-cooled,0.0,29.425,5.102262636157972,20250730,0b4658d5fb1b74c6,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,narrow,20000,2.0,2.0,20.0,2.0,Cold plate,0.075,29.425,5.102262636157972,20250730,0b4658d5fb1b74c6,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,narrow,20000,2.0,2.0,20.0,2.0,One-phase,0.735,29.425,5.102262636157972,20250730,0b4658d5fb1b74c6,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,narrow,20000,2.0,2.0,20.0,2.0,Two-phase,99.19,29.425,5.102262636157972,20250730,0b4658d5fb1b74c6,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,screening,20000,5.0,5.0,50.0,5.0,Air-cooled,0.0,41.485,4.307472962740155,20250730,bbe66f434fda9dab,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,screening,20000,5.0,5.0,50.0,5.0,Cold plate,9.2,41.485,4.307472962740155,20250730,bbe66f434fda9dab,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,screening,20000,5.0,5.0,50.0,5.0,One-phase,14.63,41.485,4.307472962740155,20250730,bbe66f434fda9dab,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,screening,20000,5.0,5.0,50.0,5.0,Two-phase,76.17,41.485,4.307472962740155,20250730,bbe66f434fda9dab,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,wide,20000,10.0,10.0,100.0,10.0,Air-cooled,0.335,45.02,6.381131197567369,20250730,2112938006929ea1,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,wide,20000,10.0,10.0,100.0,10.0,Cold plate,19.145,45.02,6.381131197567369,20250730,2112938006929ea1,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,wide,20000,10.0,10.0,100.0,10.0,One-phase,25.47,45.02,6.381131197567369,20250730,2112938006929ea1,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 U.S. generation,349.6670732319829,wide,20000,10.0,10.0,100.0,10.0,Two-phase,55.05,45.02,6.381131197567369,20250730,2112938006929ea1,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,narrow,20000,2.0,2.0,20.0,2.0,Air-cooled,0.015,57.955,5.195228362195293,20250730,093b29106e35193f,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,narrow,20000,2.0,2.0,20.0,2.0,Cold plate,21.785,57.955,5.195228362195293,20250730,093b29106e35193f,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,narrow,20000,2.0,2.0,20.0,2.0,One-phase,15.175,57.955,5.195228362195293,20250730,093b29106e35193f,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,narrow,20000,2.0,2.0,20.0,2.0,Two-phase,63.025,57.955,5.195228362195293,20250730,093b29106e35193f,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,screening,20000,5.0,5.0,50.0,5.0,Air-cooled,5.615,53.45,10.894305875543353,20250730,88d416156c85ff49,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
2023 low-carbon state (VT),23.695374653003146,screening,20000,5.0,5.0,50.0,5.0,Cold plate,27.41,53.45,10.894305875543353,20250730,88d416156c85ff49,"Seeded triangular assumption-stress frequency; not a probability, confidence interval or fitted parameter uncertainty."
