context,stress_envelope,iterations,two_phase_first_rank_frequency_pct,monte_carlo_standard_error_pct_points,difference_from_largest_run_pct_points,scenario_seed_hex,interpretation
2023 U.S. generation,narrow,5000,99.1,0.13355897573731246,-0.14750000000000796,0b4658d5fb1b74c6,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 U.S. generation,screening,5000,75.74,0.6062099306345946,-0.4862499999999983,bbe66f434fda9dab,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 U.S. generation,wide,5000,54.92,0.7036751523252757,-0.23999999999999488,2112938006929ea1,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 low-carbon state (VT),narrow,5000,62.66,0.6840649676748547,-0.4762500000000003,093b29106e35193f,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 low-carbon state (VT),screening,5000,42.06,0.6981341418380854,-0.07750000000000057,88d416156c85ff49,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 low-carbon state (VT),wide,5000,32.04,0.6599149036050027,-1.0987500000000026,efc179f2ec39a1c5,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 U.S. generation,narrow,20000,99.19,0.06338134583613697,-0.05750000000000455,0b4658d5fb1b74c6,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 U.S. generation,screening,20000,76.17,0.30125828619309375,-0.056249999999991473,bbe66f434fda9dab,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 U.S. generation,wide,20000,55.05,0.35174546905397375,-0.10999999999999943,2112938006929ea1,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 low-carbon state (VT),narrow,20000,63.025,0.3413465522749571,-0.1112499999999983,093b29106e35193f,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 low-carbon state (VT),screening,20000,42.72,0.34978576300358477,0.582499999999996,88d416156c85ff49,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 low-carbon state (VT),wide,20000,32.43,0.3310056721568378,-0.708750000000002,efc179f2ec39a1c5,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 U.S. generation,narrow,80000,99.2475,0.03055399805058252,0.0,0b4658d5fb1b74c6,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 U.S. generation,screening,80000,76.22625,0.1505068026260566,0.0,bbe66f434fda9dab,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 U.S. generation,wide,80000,55.16,0.17583281832468023,0.0,2112938006929ea1,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 low-carbon state (VT),narrow,80000,63.13625,0.1705666635049732,0.0,093b29106e35193f,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 low-carbon state (VT),screening,80000,42.1375,0.17457738591202185,0.0,88d416156c85ff49,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
2023 low-carbon state (VT),wide,80000,33.13875,0.16642183782625627,0.0,efc179f2ec39a1c5,Nested-seed numerical convergence within a declared stress design; not empirical uncertainty or a confidence interval for technology performance.
