manufacturer,product,report_date,lifetime_years,total_gwp_kgco2e,manufacturing_share_pct,manufacturing_gwp_kgco2e,annualized_manufacturing_kgco2e_per_year,source_url,source_dataset
Dell,PowerEdge C4130,February 2019,4.0,12700.0,9.5,1206.5,301.625,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-c4130.pdf,Boavizta boavizta-data-us.csv
Dell,PowerEdge C4140,February 2019,4.0,6800.0,18.3,1244.3999999999999,311.09999999999997,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-c4140.pdf,Boavizta boavizta-data-us.csv
Dell,PowerEdge C6420,February 2019,4.0,6510.0,18.5,1204.35,301.0875,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-c6420.pdf,Boavizta boavizta-data-us.csv
Dell,PowerEdge FC430,February 2019,4.0,5680.0,27.700000000000003,1573.3600000000001,393.34000000000003,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-fc430.pdf,Boavizta boavizta-data-us.csv
Dell,PowerEdge FC630,February 2019,4.0,6570.0,24.5,1609.6499999999999,402.41249999999997,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-fc630.pdf,Boavizta boavizta-data-us.csv
Dell,PowerEdge FC640,February 2019,4.0,7460.0,21.7,1618.82,404.705,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-fc640.pdf,Boavizta boavizta-data-us.csv
Dell,PowerEdge FC830,February 2019,4.0,8970.0,18.9,1695.33,423.8325,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-fc830.pdf,Boavizta boavizta-data-us.csv
Dell,PowerEdge M630,January 2019,4.0,6180.0,25.3,1563.54,390.885,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-m630.pdf,Boavizta boavizta-data-us.csv
Dell,PowerEdge M640,February 2019,4.0,7000.0,23.7,1659.0,414.75,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-m640.pdf,Boavizta boavizta-data-us.csv
Dell,PowerEdge M830,February 2019,4.0,9150.0,18.5,1692.75,423.1875,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-m830.pdf,Boavizta boavizta-data-us.csv
Dell,PowerEdge R230,February 2019,4.0,5380.0,21.2,1140.56,285.14,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-r230.pdf,Boavizta boavizta-data-us.csv
Dell,PowerEdge R240,February 2019,4.0,5260.0,22.2,1167.72,291.93,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-r240.pdf,Boavizta boavizta-data-us.csv
Dell,PowerEdge R330,January 2019,4.0,5510.0,20.8,1146.08,286.52,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-poweredge-r330.pdf,Boavizta boavizta-data-us.csv
