test_id,architecture,it_load_kw,heat_removed_kw,coolant_supply_c,coolant_return_c,flow_kg_s,pressure_drop_kpa,pump_power_kw,fan_power_kw,cdu_power_kw,heat_rejection_power_kw,onsite_water_l_h,ambient_dry_bulb_c,ambient_wet_bulb_c,duration_hours,measurement_uncertainty_percent,source_id
SYN-air-cooled-40--15,air-cooled,40.0,40.0,25.0,35.0,0.4,8.0,0.0,2.08,0.0,1.1199999999999999,0.0,-15.0,-18.0,1.0,5.0,synthetic-v0.6-demo
SYN-air-cooled-40-0,air-cooled,40.0,40.0,25.0,35.0,0.4,8.0,0.0,1.8850000000000002,0.0,1.0150000000000001,0.0,0.0,-3.0,1.0,5.0,synthetic-v0.6-demo
SYN-air-cooled-40-20,air-cooled,40.0,40.0,25.0,35.0,0.4,8.0,0.0,2.1450000000000005,0.0,1.155,0.6000000000000001,20.0,17.0,1.0,5.0,synthetic-v0.6-demo
SYN-air-cooled-40-35,air-cooled,40.0,40.0,25.0,35.0,0.4,8.0,0.0,3.1200000000000006,0.0,1.6800000000000002,1.5,35.0,32.0,1.0,5.0,synthetic-v0.6-demo
SYN-air-cooled-70--15,air-cooled,70.0,70.0,25.0,35.0,0.7,14.0,0.0,3.2987499999999996,0.0,1.7762499999999997,0.0,-15.0,-18.0,1.0,5.0,synthetic-v0.6-demo
SYN-air-cooled-70-0,air-cooled,70.0,70.0,25.0,35.0,0.7,14.0,0.0,2.9575,0.0,1.5924999999999998,0.0,0.0,-3.0,1.0,5.0,synthetic-v0.6-demo
SYN-air-cooled-70-20,air-cooled,70.0,70.0,25.0,35.0,0.7,14.0,0.0,3.4125,0.0,1.8375,1.0499999999999998,20.0,17.0,1.0,5.0,synthetic-v0.6-demo
SYN-air-cooled-70-35,air-cooled,70.0,70.0,25.0,35.0,0.7,14.0,0.0,5.11875,0.0,2.7562499999999996,2.625,35.0,32.0,1.0,5.0,synthetic-v0.6-demo
SYN-air-cooled-100--15,air-cooled,100.0,100.0,25.0,35.0,1.0,20.0,0.0,4.2250000000000005,0.0,2.275,0.0,-15.0,-18.0,1.0,5.0,synthetic-v0.6-demo
SYN-air-cooled-100-0,air-cooled,100.0,100.0,25.0,35.0,1.0,20.0,0.0,3.7375000000000003,0.0,2.0124999999999997,0.0,0.0,-3.0,1.0,5.0,synthetic-v0.6-demo
SYN-air-cooled-100-20,air-cooled,100.0,100.0,25.0,35.0,1.0,20.0,0.0,4.3875,0.0,2.3625,1.5,20.0,17.0,1.0,5.0,synthetic-v0.6-demo
SYN-air-cooled-100-35,air-cooled,100.0,100.0,25.0,35.0,1.0,20.0,0.0,6.825000000000001,0.0,3.6750000000000003,3.75,35.0,32.0,1.0,5.0,synthetic-v0.6-demo
